Date,Home Team,Home Score,Away Team,Away Score
2016-08-13,Pleasant Hill,3,Kearney,8
2016-08-13,Kearney,4,Oak Park,5
2016-08-16,Smithville,4,Kearney,9
2016-08-16,Kearney,7,Lee's Summit North,6
2016-08-17,Kearney,0,Belton,2
2016-08-19,Dora,11,Alton,1
2016-08-19,Fatima,2,Battle,3
2016-08-19,Metro,26,Bayless,25
2016-08-19,St. Pius X (Festus),6,Bishop DuBourg,7
2016-08-19,Willard,14,Bolivar,1
2016-08-19,St. Joseph's Academy,0,Bowling Green,17
2016-08-19,Winfield,2,Bowling Green,17
2016-08-19,Eldon,2,Camdenton,9
2016-08-19,Webb City,2,Camdenton,18
2016-08-19,Riverview Gardens,26,Cleveland NJROTC,15
2016-08-19,Hartville,4,Dadeville,3
2016-08-19,Van-Far,0,Eldon,16
2016-08-19,Lafayette (Wildwood),3,Francis Howell Central,6
2016-08-19,Hickman,3,Francis Howell Central,2
2016-08-19,Winfield,5,Ft. Zumwalt North,4
2016-08-19,St. Joseph's Academy,2,Ft. Zumwalt North,9
2016-08-19,Hillsboro,15,Ft. Zumwalt South,5
2016-08-19,Hannibal,0,Hickman,3
2016-08-19,Warrenton,8,Highland,2
2016-08-19,Aurora,4,Hillcrest,5
2016-08-19,Warrenton,3,Hillsboro,2
2016-08-19,Reeds Spring,11,Hollister,1
2016-08-19,Notre Dame (St. Louis),5,John F. Kennedy,4
2016-08-19,Northeast (Cairo),6,La Plata,1
2016-08-19,Troy Buchanan,21,Ladue Horton Watkins,0
2016-08-19,Wheatland,6,Leeton,5
2016-08-19,Vienna,2,Linn,3
2016-08-19,Father Tolton,11,Lutheran St. Charles,2
2016-08-19,Laquey,2,Macks Creek,8
2016-08-19,Metro,14,McCluer South-Berkeley,18
2016-08-19,Wellsville-Middletown,0,New Bloomfield,10
2016-08-19,Kickapoo,7,Nixa,1
2016-08-19,Northeast Nodaway,3,North Harrison,14
2016-08-19,Cor Jesu Academy,2,Northwest (Cedar Hill),3
2016-08-19,Smithville,0,Norwood,21
2016-08-19,Waynesville,3,Owensville,8
2016-08-19,Timberland,3,Palmyra,5
2016-08-19,Troy Buchanan,1,Palmyra,0
2016-08-19,Waynesville,4,Poplar Bluff,3
2016-08-19,Monett,4,Republic,10
2016-08-19,Marquette,9,Rockwood Summit,3
2016-08-19,Rolla,9,St. James,2
2016-08-19,Ursuline Academy,0,St. Teresa's Academy,9
2016-08-19,St. Clair,13,Warsaw,0
2016-08-19,Houston,15,Westran,13
2016-08-19,Van-Far,0,Webb City,13
2016-08-19,McCluer North,19,Trinity Catholic,1
2016-08-19,Iberia,17,Tuscumbia,1
2016-08-20,McCluer South-Berkeley,6,Bayless,8
2016-08-20,Cleveland NJROTC,1,Bayless,23
2016-08-20,Montgomery County,6,Belle,0
2016-08-20,Raymore-Peculiar,6,Belton,4
2016-08-20,Odessa,2,Belton,11
2016-08-20,Higbee,3,Bevier,15
2016-08-20,John F. Kennedy,10,Bishop DuBourg,6
2016-08-20,Notre Dame (St. Louis),14,Bishop DuBourg,6
2016-08-20,Harrisonville,1,Blue Springs South,17
2016-08-20,William Chrisman,1,Blue Springs South,19
2016-08-20,Wright City,8,Boonville,7
2016-08-20,Moberly,5,Boonville,10
2016-08-20,Warrenton,1,Bowling Green,2
2016-08-20,Troy Buchanan,6,Bowling Green,4
2016-08-20,Pleasant Hope,4,Branson,5
2016-08-20,Pleasant Hope,12,Buffalo,5
2016-08-20,Humansville,5,Buffalo,14
2016-08-20,Clinton,6,Buffalo,5
2016-08-20,Van-Far,0,Camdenton,15
2016-08-20,Poplar Bluff,6,Camdenton,0
2016-08-20,Waynesville,2,Camdenton,13
2016-08-20,Warsaw,12,Carrollton,7
2016-08-20,Fayette,5,Carrollton,13
2016-08-20,O'Hara,3,Carrollton,15
2016-08-20,Winnetonka,3,Central (St. Joseph),13
2016-08-20,Lee's Summit West,8,Central (St. Joseph),2
2016-08-20,Riverview Gardens,25,Cleveland NJROTC,13
2016-08-20,Osage,2,Clinton,7
2016-08-20,Logan-Rogersville,6,Clinton,2
2016-08-20,Lutheran South,7,Cor Jesu Academy,6
2016-08-20,North Platte,4,East Buchanan,3
2016-08-20,West Platte,3,East Buchanan,6
2016-08-20,Lexington,2,East Buchanan,0
2016-08-20,Versailles,1,Fayette,4
2016-08-20,Hillsboro,6,Francis Howell Central,1
2016-08-20,Palmyra,5,Francis Howell Central,6
2016-08-20,Father Tolton,12,Fredericktown,1
2016-08-20,North County,14,Fredericktown,1
2016-08-20,Jefferson (Festus),8,Fredericktown,4
2016-08-20,Timberland,12,Ft. Zumwalt North,2
2016-08-20,St. Joseph's Academy,2,Ft. Zumwalt North,9
2016-08-20,Highland,7,Ft. Zumwalt North,4
2016-08-20,St. Joseph's Academy,3,Ft. Zumwalt South,18
2016-08-20,Highland,7,Ft. Zumwalt South,4
2016-08-20,Lafayette (Wildwood),1,Ft. Zumwalt South,4
2016-08-20,Linn,12,Hancock,1
2016-08-20,New Haven,14,Hancock,3
2016-08-20,St. James,8,Hancock,12
2016-08-20,Timberland,3,Hannibal,8
2016-08-20,Highland,0,Hannibal,4
2016-08-20,William Chrisman,6,Harrisonville,3
2016-08-20,Montgomery County,12,Hermann,1
2016-08-20,New Haven,5,Hermann,3
2016-08-20,Warrenton,3,Hickman,2
2016-08-20,Troy Buchanan,9,Hickman,4
2016-08-20,Winfield,0,Hillsboro,13
2016-08-20,Iberia,9,Humansville,1
